City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
166,Turukhansk,RU,65.8167,87.9833,2.21,95,100,9.95,overcast clouds
167,Treinta Y Tres,UY,-33.2333,-54.3833,79.97,45,20,12.41,few clouds
168,Lata,PT,40.1629,-8.3327,48.06,51,0,5.06,clear sky
169,Walvis Bay,NA,-22.9575,14.5053,64.09,77,10,10.36,clear sky
170,Trabzon,TR,40.9167,39.8333,37.49,49,75,4.61,broken clouds
171,Garowe,SO,8.4054,48.4845,68.68,72,100,19.42,overcast clouds
172,Ahipara,NZ,-35.1667,173.1667,64.6,73,70,6.93,broken clouds
173,Correntina,BR,-13.3433,-44.6367,74.43,87,100,6.4,overcast clouds
174,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,78.85,49,9,13.42,clear sky
175,Tasiilaq,GL,65.6145,-37.6368,14.16,77,91,5.77,overcast clouds
176,Sinop,TR,41.7711,34.8709,25.65,83,97,7.49,overcast clouds
177,Tautira,PF,-17.7333,-149.15,80.62,75,100,14.36,overcast clouds
178,Akdepe,TM,42.0551,59.3788,26.6,73,0,5.59,clear sky
179,Cayenne,GF,4.9333,-52.3333,80.1,72,75,1.01,broken clouds
180,Luderitz,NA,-26.6481,15.1594,67.86,79,63,9.46,broken clouds
181,Beyneu,KZ,45.3167,55.2,26.06,82,6,4.61,clear sky
182,Vilhena,BR,-12.7406,-60.1458,79.02,83,75,13.8,broken clouds
183,Fairbanks,US,64.8378,-147.7164,-14.84,75,0,0.0,clear sky
184,Butaritari,KI,3.0707,172.7902,81.7,77,25,19.64,light rain
185,Waw,SS,7.7029,27.9953,73.0,19,4,4.94,clear sky
186,Kamenka,RU,51.3223,42.7678,31.75,98,100,7.14,light snow
187,Madison,US,34.7334,-86.5667,37.65,36,0,1.01,clear sky
188,Shahrud,IR,36.4182,54.9763,32.63,57,0,2.3,clear sky
189,Poum,NC,-20.2333,164.0167,80.89,79,40,8.93,scattered clouds
190,Bayshore Gardens,US,27.4253,-82.5904,52.99,49,0,20.71,clear sky
191,Peniche,PT,39.3558,-9.3811,60.1,51,6,8.88,clear sky
192,Beringovskiy,RU,63.05,179.3167,-11.31,100,99,4.05,overcast clouds
193,Meulaboh,ID,4.1363,96.1285,77.63,88,89,2.86,overcast clouds
194,Chifeng,CN,42.2683,118.9636,12.65,41,0,4.07,clear sky
195,Xiaoshi,CN,41.2971,124.1209,-3.98,79,1,0.94,clear sky
196,Porto Novo,BJ,6.4965,2.6036,84.02,66,18,4.79,few clouds
197,Puerto Narino,CO,-3.7703,-70.3831,91.35,36,20,5.32,few clouds
198,Cidreira,BR,-30.1811,-50.2056,74.52,56,78,13.35,broken clouds
199,Iqaluit,CA,63.7506,-68.5145,-7.87,59,100,9.22,light snow
200,Yemtsa,RU,63.0734,40.3329,5.81,100,99,5.01,overcast clouds
201,Ossora,RU,59.2353,163.0719,25.05,94,100,21.72,snow
202,Bethel,US,41.3712,-73.414,17.76,69,100,7.0,overcast clouds
203,Songea,TZ,-10.6833,35.65,61.77,98,76,0.67,broken clouds
204,Bambous Virieux,MU,-20.3428,57.7575,80.85,78,40,9.22,scattered clouds
205,Avera,US,33.194,-82.5271,43.75,25,0,13.62,clear sky
206,Cravo Norte,CO,6.3017,-70.2041,96.94,26,3,11.63,clear sky
207,Bagdarin,RU,54.4333,113.6,-15.34,95,10,4.09,clear sky
208,Dalby,AU,-27.1833,151.2667,62.98,92,13,8.7,few clouds
209,Ust-Koksa,RU,50.2696,85.6108,-3.93,86,26,0.81,scattered clouds
210,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,88,75,10.85,broken clouds
211,Te Anau,NZ,-45.4167,167.7167,57.4,89,100,1.74,light rain
212,Northam,GB,51.0333,-4.2167,48.02,86,91,9.91,overcast clouds
213,Arantangi,IN,10.1667,78.9833,75.87,82,87,11.43,overcast clouds
214,Khasan,RU,42.4308,130.6434,18.0,50,0,13.51,clear sky
215,Port Hardy,CA,50.6996,-127.4199,46.76,87,100,20.71,light rain
216,Hualmay,PE,-11.0964,-77.6139,74.75,72,71,11.54,broken clouds
217,Saint-Philippe,RE,-21.3585,55.7679,80.19,84,57,9.55,broken clouds
218,Tezu,IN,27.9167,96.1667,50.54,52,0,4.12,clear sky
219,Serafimovich,RU,49.5786,42.736,34.63,91,100,14.65,light snow
220,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,75,52,8.68,broken clouds
221,Enid,US,36.3956,-97.8784,64.98,18,0,4.0,clear sky
222,Yaan,NG,7.3833,8.5667,81.9,15,89,6.11,overcast clouds
223,Okhotsk,RU,59.3833,143.3,13.32,80,100,15.08,overcast clouds
224,Epernay,FR,49.05,3.95,48.31,92,100,12.35,overcast clouds
225,Dudinka,RU,69.4058,86.1778,-0.02,93,100,14.32,overcast clouds
226,Tual,ID,-5.6667,132.75,83.53,75,100,13.51,light rain
227,Buyukcavuslu,TR,41.2423,28.0646,41.4,86,0,8.05,clear sky
228,Joao Pinheiro,BR,-17.7425,-46.1725,77.27,67,100,1.57,overcast clouds
229,Katsuura,JP,35.1333,140.3,41.14,84,32,13.96,scattered clouds
230,Caxias,PT,38.7031,-9.2767,61.45,39,0,1.99,clear sky
231,Juliaca,PE,-15.5,-70.1333,58.98,55,75,6.91,broken clouds
232,Acapulco,MX,16.8634,-99.8901,85.82,66,20,4.61,few clouds
233,Isangel,VU,-19.55,169.2667,77.11,94,100,10.36,heavy intensity rain
234,Davidson,US,36.1501,-86.7833,36.12,40,20,1.01,few clouds
235,Tessalit,ML,20.1986,1.0114,70.97,13,91,12.37,overcast clouds
236,Vardo,NO,70.3705,31.1107,21.25,77,98,1.03,overcast clouds
237,Port Keats,AU,-14.25,129.55,81.18,84,100,18.16,light rain
238,Gelibolu,TR,40.4103,26.6708,45.21,63,79,13.91,broken clouds
239,Esperance,AU,-33.8667,121.9,65.07,78,0,14.38,clear sky
240,Yataity,PY,-26.3667,-56.0667,92.37,29,0,4.59,clear sky
241,Havelock,US,34.8791,-76.9013,41.99,53,40,10.0,scattered clouds
242,Qaanaaq,GL,77.484,-69.3632,-2.47,64,100,9.69,overcast clouds
243,Tondano,ID,1.3038,124.9112,68.09,91,95,2.06,overcast clouds
244,Sabha,LY,27.0377,14.4283,50.5,29,53,7.4,broken clouds
245,Saint-Francois,FR,46.4154,3.9054,39.67,98,100,4.61,overcast clouds
246,Antalaha,MG,-14.9003,50.2788,74.43,87,11,6.02,few clouds
247,Nantucket,US,41.2835,-70.0995,30.31,100,100,35.68,fog
248,Dariba,IN,24.95,74.1333,55.99,30,0,3.33,clear sky
249,Haines Junction,CA,60.7522,-137.5108,12.15,67,99,10.36,overcast clouds
250,Daru,PG,-9.0763,143.2092,78.33,85,100,10.85,heavy intensity rain
251,Chengde,CN,40.9725,117.9361,15.44,50,0,2.95,clear sky
252,Port Lincoln,AU,-34.7333,135.8667,64.36,89,32,13.69,scattered clouds
253,Soverato,IT,38.685,16.5499,46.35,65,0,7.94,clear sky
254,Rawson,AR,-43.3002,-65.1023,83.35,31,45,4.05,scattered clouds
255,Tigre,AR,-34.426,-58.5796,86.2,49,20,10.36,few clouds
256,Brae,GB,60.3964,-1.353,40.91,76,77,40.35,broken clouds
257,Fort Nelson,CA,58.8053,-122.7002,8.19,85,100,8.05,snow
258,Geraldton,AU,-28.7667,114.6,70.21,88,0,5.75,clear sky
259,Bonanza,NI,14.0289,-84.591,86.05,38,4,6.55,clear sky
260,Kattivakkam,IN,13.2167,80.3167,79.07,78,40,10.31,scattered clouds
261,Ostrovnoy,RU,68.0531,39.5131,13.37,89,100,15.12,overcast clouds
262,Dalgopol,BG,43.05,27.35,35.11,76,83,3.38,broken clouds
263,Vostok,RU,46.4856,135.8833,-17.19,99,100,3.8,overcast clouds
264,Taltal,CL,-25.4,-70.4833,69.03,68,9,7.81,clear sky
265,Esna,EG,25.2934,32.554,52.41,44,2,9.08,clear sky
266,Kawalu,ID,-7.3817,108.2082,72.99,96,99,1.32,overcast clouds
267,Ulety,RU,51.3572,112.4849,-13.14,99,17,3.22,few clouds
268,Sibu,MY,2.3,111.8167,77.31,100,40,1.14,scattered clouds
269,Shenzhen,CN,22.5455,114.0683,61.14,89,100,11.03,overcast clouds
270,Talnakh,RU,69.4865,88.3972,-0.65,97,100,9.46,light snow
271,Axim,GH,4.8699,-2.2405,80.67,82,58,8.41,broken clouds
272,Manokwari,ID,-0.8667,134.0833,77.52,77,98,6.87,overcast clouds
273,Vung Tau,VN,10.346,107.0843,76.12,85,65,5.14,broken clouds
274,Sambava,MG,-14.2667,50.1667,77.18,86,17,11.21,few clouds
275,Puerto Ayacucho,VE,5.6639,-67.6236,92.98,22,82,11.39,broken clouds
276,Ust-Kuyga,RU,70.0167,135.6,-34.89,100,99,6.02,overcast clouds
277,Dzhida,RU,50.6772,106.1806,-18.53,99,82,2.28,broken clouds
278,Yartsevo,RU,55.0667,32.6964,21.96,95,100,6.98,overcast clouds
279,Darhan,MN,49.4867,105.9228,-15.09,99,92,2.91,overcast clouds
280,Boyolangu,ID,-8.1181,111.8935,76.71,90,100,2.53,overcast clouds
281,Grindavik,IS,63.8424,-22.4338,36.07,80,75,16.11,broken clouds
282,Necochea,AR,-38.5473,-58.7368,90.03,37,1,15.77,clear sky
283,Adrar,MR,20.5022,-10.0711,79.77,11,100,10.56,overcast clouds
284,Iracoubo,GF,5.4802,-53.2011,79.92,75,91,8.39,overcast clouds
285,Grenaa,DK,56.4158,10.8783,44.82,72,77,7.0,broken clouds
286,Berlevag,NO,70.8578,29.0864,18.63,80,97,6.82,overcast clouds
287,Tabou,CI,4.423,-7.3528,80.37,85,30,7.16,scattered clouds
